stem,group,num_speculative_tokens,output_throughput,total_token_throughput,mean_ttft_ms,p99_ttft_ms,mean_tpot_ms,acceptance_rate,acceptance_length,drafts,draft_tokens,accepted_tokens,completed,failed
fp8_spec_n4_c16,fp8_spec,4,2955.7081352243817,3900.004928621507,30.06132616862942,128.74926146010694,5.2036672064825025,11.164657568194288,1.4465863027277717,56493,225972,25229,320,0
fp8_spec_n4_c24,fp8_spec,4,4243.7510865577015,5572.375338274509,28.84170749588672,82.36157287839887,5.455905831674731,11.1798455835478,1.447193823341912,84706,338824,37880,480,0
fp8_spec_n4_c32,fp8_spec,4,4648.8163255475,6074.218772631266,33.38882106396568,98.30274762956834,6.6493210111275625,11.314638893085338,1.4525855557234135,112529,450116,50929,640,0
fp8_spec_n4_c8,fp8_spec,4,1668.9897355577946,2192.545622085678,31.10024171257919,192.26536921993102,4.597440500955528,11.010152642154617,1.4404061056861845,28367,113468,12493,160,0
spec_bf16_n1_c16,spec_bf16,1,2646.8220288132825,3492.4351408506514,31.64537965631098,168.08891768931062,5.794350305207926,35.54227864907477,1.3554227864907475,60255,60255,21416,320,0
spec_bf16_n1_c24,spec_bf16,1,3867.7713879534444,5078.684742982391,29.079660108345706,91.5309110973976,6.004882737565317,35.27736065718577,1.3527736065718576,90568,90568,31950,480,0
spec_bf16_n1_c32,spec_bf16,1,5040.6271308678515,6586.165122483314,30.98308349062222,105.5879956588251,6.135508585698361,35.467792365044744,1.3546779236504474,120577,120577,42766,640,0
spec_bf16_n1_c8,spec_bf16,1,1354.6671523039129,1779.6212108965149,56.62611023121826,694.2346784597248,5.580428996519343,35.478520484325756,1.3547852048432576,30145,30145,10695,160,0
spec_bf16_n2_c16,spec_bf16,2,2646.163823704186,3491.56665077921,33.1942670031367,179.66085722029675,5.794137128823467,21.854659958484326,1.4370931991696865,56846,113692,24847,320,0
spec_bf16_n2_c24,spec_bf16,2,3863.138961466507,5072.602006604674,29.532395981163972,90.26271830898622,6.002075237965685,21.72658755237226,1.4345317510474451,85446,170892,37129,480,0
spec_bf16_n2_c32,spec_bf16,2,4967.036410502492,6490.0102942793665,31.942204120241513,109.67694826107619,6.199906046624039,21.75287608676561,1.4350575217353123,113870,227740,49540,640,0
spec_bf16_n2_c8,spec_bf16,2,1391.3438092005767,1827.8031989568808,57.75478496232154,689.960658809905,5.468196420391834,21.95160608622147,1.4390321217244293,28392,56784,12465,160,0
spec_bf16_n3_c16,spec_bf16,3,2559.877714481711,3377.7136464081677,34.42655156871979,181.3981830877674,6.023336939766817,14.98276178142057,1.4494828534426172,56367,169101,25336,320,0
spec_bf16_n3_c24,spec_bf16,3,3666.063944322981,4813.827176761534,30.947552152141117,90.21800672100652,6.3140333302530625,14.874469499411974,1.4462340849823594,84747,254241,37817,480,0
spec_bf16_n3_c32,spec_bf16,3,4777.036533702173,6241.753375175943,32.84385471553719,106.04819290037995,6.441232527095855,14.9345029757949,1.448035089273847,112855,338565,50563,640,0
spec_bf16_n3_c8,spec_bf16,3,1328.7978973924862,1745.6368667185616,58.45915733759739,694.1272003309132,5.730311876935975,14.745128494775486,1.4423538548432646,28328,84984,12531,160,0
spec_bf16_n4_c16,spec_bf16,4,2413.9207394664872,3185.1259835255314,37.414950687411874,208.31437645083497,6.362236093272455,11.323513724932441,1.4529405489972977,56248,224992,25477,320,0
spec_bf16_n4_c24,spec_bf16,4,3462.5168591164575,4546.554018028154,32.57865779163846,89.93754125025588,6.681744274656726,11.179293734282577,1.4471717493713032,84699,338796,37875,480,0
spec_bf16_n4_c32,spec_bf16,4,4388.766624178866,5734.433617173553,35.00462889380742,109.46280002066487,7.016808006556305,11.266367792622841,1.4506547117049138,112645,450580,50764,640,0
spec_bf16_n4_c8,spec_bf16,4,1302.6232390888472,1711.2513152375923,27.80175414993664,57.83318495905405,5.9932094625982435,11.233413751507841,1.4493365500603137,28186,112744,12665,160,0
